title,rooms,size_m2,monthly_rent
Dejlig 1-værelses lejlighed i Skejbyen,1.0,43.0,6195.0
Latinerkvarteret Værelse 14 kvm.,1.0,15.0,3927.39
SKØN DELEVENLIG 4 VÆRELSES ,4.0,93.0,11995.0
Stor 1-værelses fuldtlejlighed en ekstra bred altan,1.0,31.0,6995.0
2 værelses lejlighed på Broloftet i Risskov udlejes,2.0,58.0,8950.0
1,1.0,8.0,2500.0
2 værelser tæt på universitetet,2.0,25.0,2950.0
Moderne 4-værelses rækkehus i Viby J,4.0,114.0,14995.0
Skøn 3-værelses lejlighed i Høiriisparken ,3.0,84.0,9450.0
2 sammenhængende værelser med eget køkken & bad,2.0,45.0,4500.0
Viby værelse med altan i delelejlighed,1.0,14.0,2975.0
Tidligere gallerilejlighed,3.0,88.0,7000.0
Fully Furnished Apartment for Rent in Sivhuset – Move-in Ready from September 1st,1.0,27.0,6900.0
4 værelses lejlighed på Stenbækhave i Brabrand udlejes,4.0,113.0,14500.0
Dejlig 3-værelses lejlighed i Skejbyen ,3.0,62.0,8995.0
Nyopført 2-værelses lejlighed i Solhusene,2.0,47.0,6200.0
Skøn 2-værelses lejlighed i Zebra House,2.0,51.0,6295.0
"Ved Skov, strand og by eller vil du gerne have din egen have",1.0,24.0,4900.0
Hyggeligt værelse i bofællesskab,1.0,9.0,3750.0
Nyopført enderækkehus med udsigt til grønt område med lille sø og tæt på Aarhus,4.5,109.0,10995.0
Ryhavevej,3.0,102.0,9800.0
1 værelses lejlighed på 20 m²,1.0,20.0,4000.0
Stor 1 værelses i Risskov,1.0,41.0,5200.0
Parcelhus i Hinnerup,5.0,143.0,11700.0
Værelse i Brabrand,1.0,10.0,3600.0
2 værelses lejlighed på 62 m²,2.0,62.0,7750.0
Familievenligt område tæt på Aarhus C,4.0,89.0,8900.0
Bo midt i natur og idyl ,2.0,78.0,7500.0
Bo smukt i det attraktive Hans Broges Bakker,3.0,91.0,10500.0
"Dejlig lys 3 vær lejlighed, Knudrisgade;2 sal",3.0,94.0,9387.0
Fully Furnished Tiny House in Viby,1.0,30.0,3499.0
2-værelses med terrasse i nybyggeri,2.0,42.0,6245.39
2-værelses med altan i nybyggeri,2.0,50.0,7198.0
3-værelses med altan i nybyggeri,3.0,62.0,8258.33
3. VÆR. LEJLIGHED,3.0,99.0,9318.0
Samsøgade 8000 Aarhus C,2.0,57.0,8880.0
Hus til leje i Lystrup,4.0,130.0,13500.0
"med egen indgang, bad og wc",1.0,20.0,3600.0
Enkelt værelse til udlejning ,1.0,15.0,3200.0
1 værelses lejlighed på Skejbygårdsvej i Aarhus udlejes,1.5,39.0,6295.0
"Lejlighed i Århus N - lidt ude i det fri, og 850 meter til letbanestop og 1,5 km til IKEA",2.0,62.0,5550.0
"Dejligt møbleret værelse med stort badeværelse og og køkken. Nice quiet room with high ceilings, fully furnished, in house shared with 2 other students.",1.0,22.0,3800.0
Kom og oplev følelsen af at høre til – helt uden forpligtelser. ,2.0,62.0,8200.0
Nyt og moderne hjem med adgang til stort fælleshus,3.0,78.0,9800.0
Moderne lejebolig og fællesskab - når du vil,3.0,86.0,10850.0
Skønt område - cykelafstand til Aarhus C.,2.0,64.0,9700.0
2 vær.lejlighed i klassisk Patriciervilla,2.0,55.0,6300.0
Centralt beliggende lejlighed på rolig gade,4.0,94.0,11750.0
Centralt beliggende lejlighed på rolig gade,4.0,94.0,10800.0
Lækker 2-værelses i Aarhus,2.0,39.0,5995.0
Dejlig 2- værelses lejlighed i Tilst!,2.0,52.0,6600.0
Gårdhavehus udlejes - August/September,2.0,62.0,6200.0
